Restaurant ID,Name,Cuisine,Locality,City,Latitude,Longitude,Rating,Total Number Ratings,Delivery
16571240,DOC Pizza & Mozzarella Bar - Carlton,"Italian, Pizza",Carlton,Melbourne,-37.7989620774,144.9685729668,4.6,924,No
16581252,Industry Beans,"Coffee and Tea, Modern Australian, Cafe Food",Fitzroy,Melbourne,-37.7961752910,144.9776770547,4.5,624,Yes
16586014,Minamishima,"Japanese, Sushi",Richmond,Melbourne,-37.8198314176,145.0051938370,4.9,293,No
16574687,Journeyman,"Coffee and Tea, Cafe Food",Windsor,Melbourne,-37.8522378412,144.9932469428,4.7,837,No
16572269,Sakura Kaiten Sushi,"Sushi, Japanese",CBD,Melbourne,-37.8128928430,144.9717513844,4.6,436,No
16578793,Patricia Coffee Brewers,Coffee and Tea,CBD,Melbourne,-37.8147135635,144.9582602084,4.9,364,No
17881527,Dexter,"American, BBQ",Preston,Melbourne,-37.7361956460,145.0044562295,4.9,683,No
16576154,Naked For Satan,Bar Food,Fitzroy,Melbourne,-37.7987986192,144.9783268198,4.6,874,No
16582574,Hinoki Japanese Pantry,"Japanese, Sushi",Fitzroy,Melbourne,-37.8005961095,144.9838920683,4.9,272,No
18418602,Shanklin Cafe,"Modern Australian, Coffee and Tea, Cafe Food",Hawthorn,Melbourne,-37.8331123984,145.0473296642,4.8,523,Yes
16576105,Guhng,"Korean, Korean BBQ",CBD,Melbourne,-37.8153275234,144.9617051706,4.4,440,No
16572688,Brother Baba Budan,Coffee and Tea,CBD,Melbourne,-37.8135166183,144.9621061608,4.6,544,No
16585008,Addict Food & Coffee,"Coffee and Tea, Cafe Food",Fitzroy,Melbourne,-37.7989273723,144.9832097814,4.6,567,No
16579706,Gypsy & Pig,Japanese,CBD,Melbourne,-37.8117793049,144.9603047222,4.5,274,No
16572320,Shira Nui,"Sushi, Japanese",Glen Waverley,Melbourne,-37.8788198823,145.1657683030,4.8,422,No
16586349,Little Rogue,Coffee and Tea,CBD,Melbourne,-37.8110254587,144.9640517682,4.7,332,No
16586666,Vertue Coffee Roasters,"Coffee and Tea, Cafe Food",Carlton,Melbourne,-37.7976888425,144.9683121219,4.6,461,No
16579873,Shimbashi Soba & Sake Bar,"Japanese, Tapas",CBD,Melbourne,-37.8113361629,144.9714006856,4.6,368,No
16576912,Shanghai Street Dumpling & Mini Juicy Bun,"Chinese, Dumplings",CBD,Melbourne,-37.8133039261,144.9624219909,4.5,724,No
18303417,White Mojo Speciality Coffee & Roaster,"Cafe Food, Fusion, Coffee and Tea",CBD,Melbourne,-37.8121662904,144.9605266750,4.2,707,Yes
16575201,Three Bags Full,"Coffee and Tea, Cafe Food",Abbotsford,Melbourne,-37.8074476302,144.9965189025,4.5,1105,Yes
16571861,The Meat & Wine Co,"BBQ, Steak, Modern Australian","Freshwater Place, Southbank",Melbourne,-37.8215086870,144.9620166421,4.4,933,No
18316732,The Crux & Co,"Coffee and Tea, Cafe Food",South Melbourne,Melbourne,-37.8346574978,144.9718757719,4.4,439,No
16576959,La Belle Miette,"Desserts, French, Coffee and Tea",CBD,Melbourne,-37.8140071590,144.9614460021,4.8,478,No
16713155,Mörk Chocolate Brew House,Desserts,North Melbourne,Melbourne,-37.8015365623,144.9500627071,4.6,296,No
16585490,The Glass Den,"Coffee and Tea, Cafe Food",Coburg,Melbourne,-37.7403753334,144.9688690156,4.4,608,No
16577335,Chez Dré,"Cafe Food, Bakery, Patisserie",South Melbourne,Melbourne,-37.8327408812,144.9581800774,4.4,1184,Yes
17989264,Faraday's Cage,"Bakery, Coffee and Tea, Cafe Food",Fitzroy,Melbourne,-37.7993758872,144.9828895927,4.7,380,No
16570776,Auction Rooms,"Coffee and Tea, Cafe Food",North Melbourne,Melbourne,-37.8025223030,144.9495607987,4.4,1080,No
17849632,Hash Specialty Coffee,"Coffee and Tea, Cafe Food",CBD,Melbourne,-37.8123249513,144.9605967477,4.2,662,Yes
16571812,Maha Restaurant,Middle Eastern,CBD,Melbourne,-37.8181668230,144.9626845121,4.7,931,No
16584504,Shortstop Coffee & Donuts,"Desserts, Coffee and Tea",CBD,Melbourne,-37.8113176213,144.9609662220,4.6,540,Yes
16582263,Gelato Messina,"Ice Cream, Desserts",Fitzroy,Melbourne,-37.8018912821,144.9836744741,4.9,835,No
16576477,Purple Peanuts Japanese Cafe,"Japanese, Sushi",CBD,Melbourne,-37.8188464377,144.9545490369,4.6,490,Yes
16578925,Hell of the North,"French, European",Fitzroy,Melbourne,-37.8003351649,144.9835487455,4.7,418,No
16585312,The Kettle Black,"Coffee and Tea, Cafe Food",South Melbourne,Melbourne,-37.8341035430,144.9714281783,4.2,905,No
16577469,Joomak,Korean,CBD,Melbourne,-37.8089405543,144.9633641169,4.4,322,Yes
16579337,Aka Siro,Japanese,Collingwood,Melbourne,-37.8051562667,144.9855748192,4.8,237,No
16570775,Attica,"Australian, Contemporary",Ripponlea,Melbourne,-37.8769242618,144.9973121658,4.8,495,No
16572325,Shoya Nouvelle Wafu Cuisine,"Japanese, Sushi, Japanese BBQ",CBD,Melbourne,-37.8117808942,144.9692287669,4.7,388,No
18567985,Miznon,"Israeli, Mediterranean, Middle Eastern",CBD,Melbourne,-37.8134546383,144.9611097202,4.5,367,No
16579424,Breakfast Thieves,"Coffee and Tea, Modern Australian, Cafe Food",Fitzroy,Melbourne,-37.7963620691,144.9835983664,4.5,471,No
16571710,Laksa King,"Malaysian, Chinese",Flemington,Melbourne,-37.7877957536,144.9294968694,4.6,1302,No
16576466,Darac Grill & Bar,"Korean, Asian",CBD,Melbourne,-37.8089763142,144.9620451406,4.4,413,Yes
16573473,Peko Peko,"Taiwanese, Japanese, Asian",South Melbourne,Melbourne,-37.8318858285,144.9697920308,4.6,514,Yes
16577331,Burch & Purchese Sweet Studio,Desserts,South Yarra,Melbourne,-37.8377208564,144.9958983064,4.8,484,No
16579439,CJ Lunch Bar,"Korean, Asian, Hot Pot",CBD,Melbourne,-37.8118423458,144.9603727832,4.5,334,No
16573419,Coda,"Asian, Fusion",CBD,Melbourne,-37.8158217601,144.9699640274,4.6,562,No
18198271,Ichi Ni Nana Izakaya,"Sushi, Japanese",Fitzroy,Melbourne,-37.8038190313,144.9774393439,4.4,384,Yes
16583132,Wagyu Ya,"Japanese, Steak, Japanese BBQ",South Yarra,Melbourne,-37.8390709816,144.9914190173,4.7,389,No
16577621,Komeyui,"Japanese, Japanese BBQ",South Melbourne,Melbourne,-37.8302880000,144.9538430000,4.7,247,No
16573067,Cutler & Co,Modern Australian,Fitzroy,Melbourne,-37.8055705717,144.9759430066,4.7,569,No
16713830,Bibelot,"Desserts, Ice Cream, Cafe Food, Coffee and Tea",South Melbourne,Melbourne,-37.8325692889,144.9582075700,4.8,427,No
17849363,Grand Lafayette,"Cafe Food, Japanese, Coffee and Tea",Prahran,Melbourne,-37.8516016859,144.9950919673,4.1,422,No
18097646,Agathé Pâtisserie,"Bakery, Patisserie","South Melbourne Market, South Melbourne",Melbourne,-37.8325827938,144.9569066986,4.9,319,No
16574818,Proud Mary,"Coffee and Tea, Cafe Food",Collingwood,Melbourne,-37.8023726281,144.9851657823,4.5,894,No
16571988,Nobu,Japanese,"Crown Melbourne, Southbank",Melbourne,-37.8222756683,144.9598175660,4.5,1022,No
16576672,LuxBite,"Desserts, Coffee and Tea, Cafe Food",South Yarra,Melbourne,-37.8386086744,144.9877085164,4.5,598,No
16582655,Om Nom Kitchen - Adelphi Hotel,"Desserts, Modern Australian",CBD,Melbourne,-37.8162095191,144.9683127925,4.3,484,No
16572155,Punch Lane,"Mediterranean, Modern Australian",CBD,Melbourne,-37.8108116997,144.9713500589,4.8,430,No
16583248,Pidapipó,"Ice Cream, Desserts",Carlton,Melbourne,-37.7983310261,144.9671862647,4.9,525,No
16571628,Kenzan Japanese,"Japanese, Sushi",Collins Place,Melbourne,-37.8146303951,144.9727967754,4.6,262,No
16572235,Rockpool Bar & Grill,"Seafood, Steak, Australian","Crown Melbourne, Southbank",Melbourne,-37.8219695123,144.9603560194,4.5,1094,No
16581841,Bowery to Williamsburg,"American, Coffee and Tea, Cafe Food",CBD,Melbourne,-37.8162664644,144.9702634290,4.4,470,No
16574121,Don Don,"Japanese, Asian",CBD,Melbourne,-37.8107603127,144.9635954574,4.6,692,Yes
16582908,Mugen Ramen & Bar,"Japanese, Ramen",CBD,Melbourne,-37.8172101608,144.9637107924,4.4,349,No
16586156,The Grand Trailer Park Taverna,"Burger, American",CBD,Melbourne,-37.8121877454,144.9709661678,4.4,668,Yes
16579874,Two Birds One Stone,"Coffee and Tea, Modern Australian, Cafe Food",South Yarra,Melbourne,-37.8380227104,144.9939158186,4.4,684,No
16573068,HuTong Dumpling Bar,Chinese,CBD,Melbourne,-37.8119435290,144.9693950638,4.3,1167,No
18241437,KOI Dessert Bar,"Desserts, Modern Australian","Kensington Street, Chippendale",Sydney,-33.8855402567,151.2017665431,4.7,451,No
18347530,Kobe Wagyu Yakiniku,"Japanese BBQ, BBQ, Healthy Food, Japanese, Seafood, Steak, Asian",CBD,Sydney,-33.8777330077,151.2054559216,4.5,633,No
16564875,The Grounds of Alexandria Cafe,"Coffee and Tea, Salad, Poké, Cafe Food","The Grounds of Alexandria, Alexandria",Sydney,-33.9110665786,151.1941245943,4.4,1242,No
16564139,Café Cre Asion,"Desserts, Cafe Food, Coffee and Tea",CBD,Sydney,-33.8779718367,151.2106550485,4.8,415,No
16566986,Devon,"Coffee and Tea, Cafe Food",Surry Hills,Sydney,-33.8861726213,151.2076851726,4.5,583,No
16564570,Sokyo,Japanese,"The Star, Pyrmont",Sydney,-33.8695550746,151.1958998814,4.8,572,No
16565634,Mr. Wong,"Cantonese, Chinese, Yum Cha","Establishment, CBD",Sydney,-33.8641411959,151.2081414834,4.5,647,No
16562756,Mappen Noodle Restaurant,"Japanese, Asian","SkyView Shopping Plaza, CBD",Sydney,-33.8761708597,151.2059947103,4.7,367,No
16567840,Three Williams,"Cafe Food, Coffee and Tea",Redfern,Sydney,-33.8918506105,151.2074561790,4.4,527,No
16558450,Masuya Japanese Seafood Restaurant,"Japanese, Hot Pot, Sushi",CBD,Sydney,-33.8651392551,151.2097095698,4.6,193,No
16562670,Home Thai,"Thai, Salad",CBD,Sydney,-33.8745761144,151.2042854726,4.6,528,No
15545104,Cafe Oratnek,"Japanese, Asian, Cafe Food, Coffee and Tea",Redfern,Sydney,-33.8901158872,151.2044252828,4.5,253,No
16559119,Sydney Madang,"Hot Pot, Korean BBQ, BBQ, Korean",CBD,Sydney,-33.8760222148,151.2076415867,4.4,332,No
16557398,Bourke Street Bakery,"Cafe Food, Bakery, Desserts, Coffee and Tea",Surry Hills,Sydney,-33.8894699144,151.2150052562,4.6,453,No
15547004,Restaurant Hubert,"French, European",CBD,Sydney,-33.8653806250,151.2104904279,4.9,231,No
16558798,Quay,Modern Australian,Circular Quay,Sydney,-33.8580292558,151.2099704146,4.9,452,No
16561824,Saké Restaurant & Bar,"Japanese, Sushi","The Rocks Centre, The Rocks ",Sydney,-33.8590797287,151.2075413391,4.5,443,No
16559232,Toko,Japanese,Surry Hills,Sydney,-33.8870226320,151.2138793990,4.5,317,No
16557552,Chat Thai - Haymarket,"Thai, Salad",Haymarket,Sydney,-33.8792377867,151.2063651904,4.6,497,No
16569007,Cho Cho San,"Japanese, Asian, Fusion",Potts Point,Sydney,-33.8694200000,151.2252580000,4.5,256,No
16559790,Rockpool Bar & Grill,"Seafood, Steak, Modern Australian, Poké",CBD,Sydney,-33.8660301209,151.2100217119,4.6,397,No
16562527,Bistro Papillon,French,CBD,Sydney,-33.8680117073,151.2052265927,4.8,159,No
16557481,Cafe Sydney,"Seafood, Modern Australian",CBD,Sydney,-33.8624022900,151.2108850479,4.6,373,No
16558268,La Renaissance Cafe Patisserie,"Desserts, Bakery, French, Patisserie, Cafe Food, Coffee and Tea",The Rocks,Sydney,-33.8592097493,151.2084680423,4.8,238,No
16560990,Black Star Pastry,"Bakery, Desserts, Coffee and Tea",Newtown,Sydney,-33.8971249766,151.1785999686,4.6,509,No
16562187,Le Monde,Modern Australian,Surry Hills,Sydney,-33.8848062961,151.2112411112,4.5,220,No
16557237,Bar Luca,"Burger, Modern Australian",CBD,Sydney,-33.8638672496,151.2116377428,4.7,312,No
16567979,Celsius Coffee Co,"Cafe Food, Coffee and Tea",Kirribilli,Sydney,-33.8494601655,151.2203861028,4.4,228,No
16569454,LuMi Bar & Dining,"Italian, Japanese",Pyrmont,Sydney,-33.8669045524,151.1973965541,4.9,197,No
16566463,Rustic Pearl,"Turkish, Cafe Food, Coffee and Tea",Surry Hills,Sydney,-33.8865252626,151.2137070671,4.7,227,No
16559171,Tetsuya's,Japanese,CBD,Sydney,-33.8751364638,151.2049677596,4.9,330,No
16563159,Ms. G's,"Asian, Vietnamese, Salad",Potts Point,Sydney,-33.8726260000,151.2224250000,4.5,469,No
16566109,Ippudo,"Japanese, Ramen","Westfield Pitt Street Mall, CBD",Sydney,-33.8698329000,151.2089890614,4.5,603,No
16562433,Cow & The Moon,"Ice Cream, Desserts, Coffee and Tea",Enmore,Sydney,-33.8990000921,151.1720285565,4.9,356,No
16566176,Kepos Street Kitchen,Middle Eastern,Redfern,Sydney,-33.8968717299,151.2126539648,4.6,284,No
16564684,Buffalo Dining Club,Italian,Darlinghurst,Sydney,-33.8775420553,151.2219132856,4.5,192,No
16559908,Hurricane's Grill- Darling Harbour,"Steak, Modern Australian, Salad","Harbourside Shopping Centre, Darling Harbour",Sydney,-33.8708501007,151.1988449469,4.4,468,Yes
16568099,Cuckoo Callay,"Coffee and Tea, Cafe Food",Newtown,Sydney,-33.8982512197,151.1791830137,4.6,366,No
16569020,Bowery Lane,"Modern Australian, Cafe Food","Wintergarden, CBD",Sydney,-33.8648204899,151.2098990008,4.4,214,No
16568165,Brewtown Newtown,"Cafe Food, Coffee and Tea",Newtown,Sydney,-33.8939401356,151.1824492738,4.4,446,No
16564828,Reuben Hills,"Cafe Food, Coffee and Tea, Fried Chicken",Surry Hills,Sydney,-33.8829278068,151.2110640854,4.3,453,No
16563677,Circa,"Cafe Food, Coffee and Tea",Parramatta,Sydney,-33.8187340157,151.0051793978,4.7,412,No
16561698,Gumshara Ramen,"Ramen, Japanese","Harbour Plaza, Chinatown",Sydney,-33.8776790066,151.2036212906,4.4,379,No
16559086,Suminoya Japanese,Japanese BBQ,CBD,Sydney,-33.8670855065,151.2090044841,4.5,126,No
16566547,Oh! Matcha,"Japanese, Cafe Food, Coffee and Tea","Regent Place Arcade, CBD",Sydney,-33.8749193393,151.2062062696,4.4,373,No
16561309,Revolver,"Coffee and Tea, Cafe Food",Annandale,Sydney,-33.8758359907,151.1717811227,4.5,245,No
15546911,Flower Child,"Bakery, Cafe Food, Coffee and Tea","Westfield Chatswood, Chatswood",Sydney,-33.7965720746,151.1840213835,4.4,275,No
17743923,Juan Bowl & Tea,"Japanese, Tea",Redfern,Sydney,-33.8931052223,151.2039173394,4.5,122,No
16564699,The Baxter Inn,Bar Food,CBD,Sydney,-33.8696255053,151.2057985738,4.8,142,No
16570446,Belly Bao,"Taiwanese, Street Food",Newtown,Sydney,-33.8945184474,151.1825887486,4.6,199,No
16566535,Lorraine's Patisserie,"Desserts, Bakery","Ivy, CBD",Sydney,-33.8666116843,151.2077032775,4.9,111,No
18394951,Cuppa Flower,"Cafe Food, Coffee and Tea",Waterloo,Sydney,-33.9023224907,151.2039186805,4.3,163,No
17744148,Ho Jiak Haymarket 好吃禧市,"Malaysian, Asian, Chinese, Asian Fusion, Singaporean",Haymarket,Sydney,-33.8793410549,151.2039833888,4.8,221,No
17742790,Meet Mica,"Healthy Food, Seafood, Fusion, Japanese, Contemporary, Asian, Coffee and Tea, Cafe Food",Surry Hills,Sydney,-33.8892197064,151.2081408128,4.2,174,No
16562675,Chefs Gallery Town Hall,Chinese,"Regent Place Arcade, CBD",Sydney,-33.8748310975,151.2064879015,4.4,518,No
18220980,Black Star Pastry,"Bakery, Desserts, Coffee and Tea","The Galeries, CBD",Sydney,-33.8724852798,151.2076737732,4.7,230,No
16557570,China Doll,"Asian, Chinese",Woolloomooloo,Sydney,-33.8684582400,151.2203391641,4.6,263,No
16558906,Ryo's Noodles,"Japanese, Ramen",Crows Nest,Sydney,-33.8285227553,151.2066414580,4.7,263,No
16557147,Aria,Modern Australian,Circular Quay,Sydney,-33.8585919411,151.2139528245,4.4,330,No
16569877,Yasaka Ramen,"Japanese, Ramen",CBD,Sydney,-33.8768458826,151.2083218619,4.2,265,No
16558421,Mamak,Malaysian,Haymarket,Sydney,-33.8777708641,151.2042884901,4.5,668,Yes
16566248,Méjico,"Mexican, Bar Food",CBD,Sydney,-33.8660253882,151.2084871531,4.3,383,No
15545439,Manpuku - Chatswood,"Japanese, Ramen",Chatswood,Sydney,-33.7943935138,151.1895571277,4.9,196,No
16567674,The Paramount Coffee Project,"Cafe Food, Coffee and Tea",Surry Hills,Sydney,-33.8796644978,151.2111123651,4.2,326,No
16559258,Trio,"Mediterranean, Cafe Food, Coffee and Tea, Australian, European, Juices, Sandwich, Salad",Bondi Beach,Sydney,-33.8934238818,151.2733319029,4.7,214,No
16562652,Mad Spuds Cafe,"Irish, Healthy Food, Salad, Cafe Food, Coffee and Tea",Surry Hills,Sydney,-33.8881078168,151.2134810910,4.5,257,No
16568015,Social Brew Cafe,"Cafe Food, Coffee and Tea",Pyrmont,Sydney,-33.8716649104,151.1952142417,4.7,185,No
16559009,Single O,"Cafe Food, Coffee and Tea",Surry Hills,Sydney,-33.8813913616,151.2097179517,4.6,163,No
16557807,Encasa,Spanish,Haymarket,Sydney,-33.8786615981,151.2072298676,4.5,191,Yes
16559500,Miso Japanese Restaurant,Japanese,"World Square, CBD",Sydney,-33.8774323827,151.2071567774,4.5,201,No
16557718,Din Tai Fung,"Chinese, Taiwanese, Yum Cha","World Square, CBD",Sydney,-33.8776319644,151.2067819387,4.4,574,No
16561338,The Winery,Modern Australian,Surry Hills,Sydney,-33.8815466774,151.2142984942,4.4,258,No
16568476,La Mamma del Gelato Anita,Ice Cream,"Central Park, Chippendale",Sydney,-33.8850718252,151.2004720420,4.9,231,No
16569582,Chaco Ramen,Ramen,Darlinghurst,Sydney,-33.8781611181,151.2154961005,4.5,108,No
16563069,Felix Bistro and Bar,French,"Ivy, CBD",Sydney,-33.8667074512,151.2076687440,4.5,256,No
16564479,BLACK Bar & Grill,"Steak, Modern Australian","The Star, Pyrmont",Sydney,-33.8676918393,151.1955314130,4.5,256,No
16565382,Hartsyard,Modern Australian,Newtown,Sydney,-33.8983753365,151.1769681796,4.5,233,No
15546922,Social Hideout,"Juices, Desserts, Modern Australian, Salad, Coffee and Tea, Vegetarian, Cafe Food",Parramatta,Sydney,-33.8086430099,151.0062874854,4.2,251,No
18498289,Concrete Jungle,"Cafe Food, Coffee and Tea",Chippendale,Sydney,-33.8857982687,151.2019445747,4.2,136,No
16557948,glass brasserie & wine bar,"Modern Australian, French, Tapas","Hilton Sydney, CBD",Sydney,-33.8723811682,151.2075363100,4.5,244,No
16559833,Gelato Messina,"Desserts, Ice Cream, Beverages",Darlinghurst,Sydney,-33.8780561783,151.2213775143,4.8,338,No
16563918,El Loco at Excelsior,Mexican,Surry Hills,Sydney,-33.8845315811,151.2109759077,4.3,291,No
16566183,Mary's,"American, Burger, Fried Chicken",Newtown,Sydney,-33.8960513166,151.1798465252,4.3,487,No
16559453,The Italian Bowl,Italian,Newtown,Sydney,-33.8960168079,151.1808825284,4.4,254,Yes
16564601,The Wedge Espresso,"Coffee and Tea, Cafe Food",Glebe,Sydney,-33.8829436721,151.1915161461,4.4,155,No
16558176,Jazushi,Japanese,Surry Hills,Sydney,-33.8869800482,151.2094631419,4.6,151,No
16566332,Mr Crackles,"Sandwich, Fast Food, Salad, Fried Chicken, American",Darlinghurst,Sydney,-33.8800113208,151.2159537524,4.5,230,No
18381614,Auvers,"Cafe Food, Coffee and Tea, Asian Fusion, Modern Australian",Rhodes,Sydney,-33.8283472898,151.0870052129,4.5,244,No
18494965,Sasaki,Japanese,CBD,Sydney,-33.8780010640,151.2104998156,4.3,67,No
16559190,Thai Pothong,Thai,Newtown,Sydney,-33.8967821193,151.1797137558,4.7,291,No
16558549,Masuya Suisan,"Sushi, Japanese",Haymarket,Sydney,-33.8795219827,151.2069894746,4.5,160,No
16557373,Bodega,"Latin American, Tapas",Surry Hills,Sydney,-33.8863890000,151.2092860000,4.5,194,No
16558647,Otto Ristorante,Italian,Woolloomooloo,Sydney,-33.8682196627,151.2205148488,4.5,231,No
16558709,The Restaurant Pendolino,Italian,"The Strand Arcade, CBD",Sydney,-33.8694634866,151.2077146769,4.6,192,No
16563607,The Pie Tin,"Bakery, Coffee and Tea",Newtown,Sydney,-33.8953820117,151.1824388802,4.4,261,No
18518832,The Grounds of the City,"Cafe Food, Coffee and Tea",CBD,Sydney,-33.8721590260,151.2070344016,4.2,243,No
16558672,Pancakes On The Rocks,"Grill, Desserts, Pizza, Cafe Food, Coffee and Tea",The Rocks,Sydney,-33.8586584831,151.2084479257,4.1,324,No
17744545,Gogyo,"Japanese, Ramen",Surry Hills,Sydney,-33.8823602716,151.2101410702,4.5,120,No
16559582,Spice Temple,"Chinese, Fusion, Yum Cha",CBD,Sydney,-33.8661222694,151.2100026011,4.3,244,No
16563714,Orto Trading Co.,"Modern Australian, Cafe Food, Coffee and Tea",Surry Hills,Sydney,-33.8867515424,151.2102956325,4.3,212,No
16600038,Bib & Tucker,"Modern Australian, Cafe Food",North Fremantle,Perth,-32.0284215000,115.7498293000,4.1,692,No
16597645,Mrs. S,"Patisserie, Cafe Food",Maylands,Perth,-31.9286800875,115.8919624239,4.5,643,No
18196379,tbsp.,"Sandwich, Coffee and Tea, Cafe Food",Bayswater,Perth,-31.9194560000,115.9096643000,4.7,335,No
16598431,Tuck Shop Cafe,"Modern Australian, Cafe Food",Northbridge,Perth,-31.9467356499,115.8621080965,4.8,799,No
16599082,Sayers Sister,"Modern Australian, Coffee and Tea",Perth CBD,Perth,-31.9404785312,115.8615736663,4.6,496,No
16595894,Ciao Italia,"Italian, Seafood",South Perth,Perth,-31.9777042880,115.8687559515,4.5,509,Yes
16596036,Ha-Lu,"Japanese, Tapas","Oxford Street, Leederville",Perth,-31.9233773227,115.8411462978,4.8,243,No
16599032,Piccolo's Corner,"Healthy Food, Cafe Food",West Leederville,Perth,-31.9388254859,115.8298749849,4.5,241,No
16600553,Bread In Common,"Mediterranean, Bakery",Fremantle,Perth,-32.0564810000,115.7453410000,4.4,678,No
16596238,Nao Japanese,"Japanese, Ramen","Hay Street, Perth CBD",Perth,-31.9546343231,115.8609222248,4.7,343,No
16597513,Pacific Rim Mix Plate,"Hawaiian, Japanese",Applecross,Perth,-32.0219001116,115.8322872967,4.9,213,No
16596903,Moore & Moore,"Coffee and Tea, Modern Australian, Cafe Food","Henry Street, Fremantle",Perth,-32.0565317823,115.7447637990,4.4,380,No
16600511,Palsaik Namoo,"Korean, BBQ",Perth CBD,Perth,-31.9543131550,115.8605121821,4.5,217,No
16599893,La Veen Coffee & Kitchen,"Modern Australian, Cafe Food","Wellington Street, Northbridge",Perth,-31.9506724119,115.8558364213,4.2,276,No
18016553,Chu Bakery,Bakery,Highgate,Perth,-31.9394189923,115.8648087457,4.5,243,No
16600889,Little Creatures Fremantle Brewery,"Bar Food, Modern Australian",Fremantle,Perth,-32.0591692695,115.7449022681,4.3,758,No
16599949,Gordon St Garage,"Modern Australian, Cafe Food, Coffee and Tea",West Perth,Perth,-31.9482935331,115.8471752331,4.0,787,No
16596362,Sayers,"Modern Australian, Cafe Food","Carr Place, Leederville",Perth,-31.9372790000,115.8425980000,4.5,559,No
16597137,The Raw Kitchen,"Healthy Food, Pizza, Cafe Food",Fremantle,Perth,-32.0534455245,115.7499803603,4.5,385,No
16598699,Gusto Food,"Desserts, Cafe Food",South Perth,Perth,-31.9808587919,115.8637214452,4.6,398,No
16599765,Harvest Espresso,Cafe Food,Victoria Park,Perth,-31.9800215450,115.9000113979,4.4,443,No
